Employee ID,Name,Department,Job Role,Performance Score,KPI Score,Attendance (%),Peer Rating,Task Completion (%),Work Hours Logged,Manager Feedback,Training Hours,Promotion Eligibility,Attendance Status,Performance Category,Productivity Index,Work Efficiency,standardize mf
376063,Manikya Badami,Sales,Sales Executive,61,91.03,94.4,4.5,78.19,42,3.7,18,No,Good,Average,52.17666667,1.861666667,Average
810690,Zara Mahal,Marketing,Marketing Executive,91,83.36,78.45,4.7,71.39,46,4.5,15,Yes,Poor,Outstanding,59.68666667,1.551956522,Excellent
520956,Sana Gera,Finance,Accountant,100,65.39,99.5,4.4,80.2,51,3.5,7,No,Excellent,Outstanding,56.59666667,1.57254902,Average
202996,Zoya Wadhwa,Marketing,Content Strategist,100,82.9,79.83,4.3,71.51,43,5,9,Yes,Poor,Outstanding,62.4,1.663023256,Excellent
383410,Baiju Doctor,Sales,Sales Executive,80,90.9,89.92,3.7,78.03,51,3.1,29,No,Average,Good,58.2,1.53,Average
865548,Charvi Chakrabarti,HR,Employee Relations,53,72.43,82.52,5,70.93,35,4.7,4,No,Average,Needs Improvement,43.47666667,2.026571429,Excellent
302189,Anahi Kari,Sales,Business Development,59,76.14,79.21,4.9,93.45,49,3.2,16,No,Poor,Needs Improvement,46.68,1.907142857,Average
907341,Kavya Kulkarni,IT,Cybersecurity Specialist,98,94.8,93.79,5,83.05,53,3.3,9,No,Good,Outstanding,65.93333333,1.566981132,Average
275552,Trisha Bir,Sales,Account Manager,83,80.59,76.16,4.5,97.62,37,3.7,23,No,Poor,Good,56.03,2.638378378,Average
745670,Shray Kaul,HR,HR Manager,70,73.82,91.44,4.5,84.12,51,4.2,18,No,Good,Average,49.44,1.649411765,Excellent
374239,Jhanvi Ghosh,Sales,Business Development,75,60.73,90.2,3.4,91.53,35,4.8,3,No,Good,Good,46.37666667,2.615142857,Excellent
903729,Emir Chaudhry,HR,HR Manager,73,82.23,78.43,4,92.26,44,4.7,12,No,Poor,Average,53.07666667,2.096818182,Excellent
231366,Purab Tara,HR,HR Manager,100,92.09,90.13,3.5,86.27,40,3.2,1,No,Good,Outstanding,65.19666667,2.15675,Average
888390,Kashvi Bains,Sales,Business Development,95,66.64,94.68,4.2,92.61,50,4.3,17,Yes,Good,Outstanding,55.28,1.8522,Excellent
378452,Mishti Shah,Finance,Auditor,60,67.86,75.87,4.1,78.95,38,3.4,5,No,Poor,Average,43.98666667,2.077631579,Average
786662,Umang Savant,IT,Data Analyst,81,63.41,83.64,3.6,80.15,48,3.9,1,No,Average,Good,49.33666667,1.669791667,Average
453442,Rhea Loyal,HR,Recruitment Specialist,94,62.67,78.64,4.3,73.62,45,3.2,15,No,Poor,Outstanding,53.65666667,1.636,Average
247543,Indrajit Shah,IT,Cybersecurity Specialist,65,62.14,81.18,3.8,79.31,41,4.3,29,No,Average,Average,43.64666667,1.934390244,Excellent
760752,Madhup Chaudhari,Marketing,Marketing Executive,50,73.31,79.96,4.7,70.72,42,4.7,27,No,Poor,Needs Improvement,42.67,1.683809524,Excellent
861299,Madhav Kara,HR,Recruitment Specialist,94,68.65,81.06,4,98.48,51,4.4,18,Yes,Average,Outstanding,55.55,1.930980392,Excellent
276598,Pari Batta,IT,Cybersecurity Specialist,70,66.04,79.06,4.9,92.33,48,3,30,No,Poor,Average,46.98,1.923541667,Average
897782,Chirag Bassi,Finance,Auditor,74,74.74,86.4,4.7,75.16,40,4.3,13,No,Average,Average,51.14666667,1.879,Excellent
514230,Jayant Dixit,Sales,Account Manager,75,63.95,80.49,4.1,82.45,42,3.2,4,No,Average,Good,47.68333333,1.963095238,Average
834049,Kismat Dora,Sales,Account Manager,83,64.87,79.25,3.4,84.48,54,3.7,6,No,Poor,Good,50.42333333,1.564444444,Average
181362,Lakshit Lanka,IT,Software Engineer,81,82.16,94.82,4.9,87,36,3,9,No,Good,Good,56.02,2.416666667,Average
190571,Vidur Mani,Finance,Accountant,52,91.38,76.3,4.2,90.17,49,3.7,19,No,Poor,Needs Improvement,49.19333333,1.840204082,Average
478699,Anahita Ratti,Marketing,SEO Specialist,66,72.15,89.63,3.7,79.63,49,4.6,30,No,Average,Average,47.28333333,1.625102041,Excellent
892101,Sumer Mallick,Finance,Financial Analyst,68,80.43,90.09,4.8,84.64,51,3.9,12,No,Good,Average,51.07666667,1.659607843,Average
268043,Aaina Swaminathan,Finance,Financial Analyst,90,82.5,80.84,4.1,90.53,49,4.6,1,Yes,Average,Outstanding,58.86666667,1.84755102,Excellent
108201,Nitara Saha,Sales,Sales Executive,77,70.93,94.01,4.2,96.69,53,4.1,8,No,Good,Good,50.71,1.824339623,Excellent
431608,Yuvraj  Kota,Marketing,SEO Specialist,52,89.09,95.21,3.8,74.09,55,4,13,No,Excellent,Needs Improvement,48.29666667,1.347090909,Excellent
302120,Uthkarsh Bhakta,IT,Cybersecurity Specialist,95,63.18,98.11,4.7,98.39,36,3.3,30,No,Excellent,Outstanding,54.29333333,2.733055556,Average
949655,Hiran Sharma,HR,Recruitment Specialist,97,73.85,89.07,4.1,98.64,53,3.2,1,No,Average,Outstanding,58.31666667,1.861132075,Average
999957,Rhea Handa,Finance,Financial Analyst,68,92.79,77.28,4.1,96.44,51,4.4,3,No,Poor,Average,54.96333333,1.890980392,Excellent
853352,Lakshay Rout,HR,HR Manager,86,94.22,92.13,3.8,94.42,45,4.7,17,Yes,Good,Good,61.34,2.098222222,Excellent
972885,Ishita Dhillon,Marketing,Marketing Executive,70,64.1,85.82,4.9,79.79,53,3.4,11,No,Average,Average,46.33333333,1.505471698,Average
692055,Hazel Choudhary,HR,Recruitment Specialist,96,76.86,78.28,4.5,98.51,41,3.5,23,No,Poor,Outstanding,59.12,2.402682927,Average
691847,Eva Khanna,Marketing,Marketing Executive,82,65.76,95.83,3.2,88.84,55,4,28,No,Excellent,Good,50.32,1.615272727,Excellent
325523,Mishti Krishnan,IT,Software Engineer,88,62.97,81.47,3.8,74.39,36,3.4,3,No,Average,Good,51.59,2.066388889,Average
529211,Kiaan Dutta,IT,Cybersecurity Specialist,73,91.15,90.92,4.7,85.23,52,4.8,19,No,Good,Average,56.28333333,1.639038462,Excellent
748631,Onkar Rama,HR,HR Manager,66,94.05,83.04,3.8,85.8,46,4.2,17,No,Average,Average,54.61666667,1.865217391,Excellent
352450,Mishti Chacko,IT,Cybersecurity Specialist,73,94.97,96.7,3.5,81.31,39,3.8,7,No,Excellent,Average,57.15666667,2.084871795,Average
597949,Shaan Basu,HR,HR Manager,97,79.07,86.59,3.1,90.24,39,4.2,27,Yes,Average,Outstanding,59.72333333,2.313846154,Excellent
538851,Alia Sidhu,Sales,Business Development,89,77.14,99.3,4.9,84.05,38,3.4,15,No,Excellent,Good,57.01333333,2.211842105,Average
982166,Rohan Bala,Finance,Accountant,97,76.97,95.4,3.5,70.93,48,4.2,15,Yes,Excellent,Outstanding,59.15666667,1.477708333,Excellent
891328,Nishith Koshy,IT,Data Analyst,64,84.34,97.17,3.3,92.24,46,4.9,26,No,Excellent,Average,50.54666667,2.005217391,Excellent
976367,Nishith Kibe,Finance,Financial Analyst,75,74.44,87.56,4.2,85.01,50,3.5,27,No,Average,Good,51.21333333,1.7002,Average
968990,Badal Mani,HR,Employee Relations,65,64.87,90.97,3.2,86.54,50,4.6,17,No,Good,Average,44.35666667,1.7308,Excellent
